Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
81,Janis Blaswich,de GER,GK,de RB Leipzig,32,1991,5,5,450,5.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.20,0.20,0.00,0.20,0.00,0.06,0.06,0.00,0.06,Matches
82,Lewin Blum,ch SUI,DF,ch Young Boys,22,2001,4,2,216,2.4,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,4,6,6,0.42,0.00,0.42,0.42,0.42,0.04,0.03,0.07,0.04,0.07,Matches
83,Oscar Bobb,no NOR,"FW,MF",eng Manchester City,20,2003,4,2,218,2.4,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,7,6,10,0.41,0.00,0.41,0.41,0.41,0.09,0.08,0.17,0.09,0.17,Matches
84,Sacha Boey,fr FRA,DF,tr Galatasaray,22,2000,6,6,540,6.0,1,0,1,1,0,0,2,0,0.2,0.2,0.5,0.7,18,41,38,0.17,0.00,0.17,0.17,0.17,0.04,0.08,0.12,0.04,0.12,Matches
85,Nicolai Boilesen,dk DEN,"DF,FW",dk FC Copenhagen,31,1992,3,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
86,Valerii Bondar,ua UKR,DF,ua Shakhtar,24,1999,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Artem Bondarenko,ua UKR,MF,ua Shakhtar,22,2000,4,2,221,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,6,6,0.00,0.00,0.00,0.00,0.00,0.20,0.01,0.22,0.20,0.22,Matches
88,Leonardo Bonucci,it ITA,DF,de Union Berlin,36,1987,3,3,259,2.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
89,Gonçalo Borges,pt POR,FW,pt Porto,22,2001,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
90,Cristian Borja,co COL,DF,pt Braga,30,1993,6,6,517,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.6,0.6,18,26,34,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
91,Olivier Boscagli,fr FRA,DF,nl PSV Eindhoven,25,1997,7,7,611,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,36,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
